config,config_label,effective_props,error,max_ms,mean_ms,min_ms,stdev_ms,variant
"{""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",baseline,"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""18446744073709551615"", ""INFERENCE_PRECISION_HINT"": ""<Type: 'float16'>"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""PerformanceMode.LATENCY""}",,381.2,357.21,286.15,31.62,openvino-fp16
"{""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",baseline,"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""18446744073709551615"", ""INFERENCE_PRECISION_HINT"": ""<Type: 'float16'>"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""PerformanceMode.LATENCY""}",,398.98,380.38,315.48,27.24,openvino-int8_sym
"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""32"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",dq32,"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""32"", ""INFERENCE_PRECISION_HINT"": ""<Type: 'float16'>"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""PerformanceMode.LATENCY""}",,393.93,376.61,304.39,27.31,openvino-int8_sym
"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""64"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",dq64,"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""64"", ""INFERENCE_PRECISION_HINT"": ""<Type: 'float16'>"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""PerformanceMode.LATENCY""}",,404.38,384.97,311.98,28.64,openvino-int8_sym
"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""128"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",dq128,"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""128"", ""INFERENCE_PRECISION_HINT"": ""<Type: 'float16'>"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""PerformanceMode.LATENCY""}",,406.33,386.01,313.28,28.76,openvino-int8_sym
"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""0"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",dq0,"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""0"", ""INFERENCE_PRECISION_HINT"": ""<Type: 'float16'>"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""PerformanceMode.LATENCY""}",,407.0,387.83,314.56,28.67,openvino-int8_sym
"{""INFERENCE_PRECISION_HINT"": ""i8"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",i8,,"RuntimeError('Exception from src/inference/src/cpp/core.cpp:109:\nException from src/inference/src/dev/plugin.cpp:53:\nException from src/inference/src/dev/plugin_config.cpp:90:\nInvalid value: i8 for property: INFERENCE_PRECISION_HINT\nProperty description: Model floating-point inference precision. Supported values: { f16, f32, dynamic }\n\n\n')",,,,,openvino-int8_sym
"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""32"", ""INFERENCE_PRECISION_HINT"": ""i8"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",i8_dq32,,"RuntimeError('Exception from src/inference/src/cpp/core.cpp:109:\nException from src/inference/src/dev/plugin.cpp:53:\nException from src/inference/src/dev/plugin_config.cpp:90:\nInvalid value: i8 for property: INFERENCE_PRECISION_HINT\nProperty description: Model floating-point inference precision. Supported values: { f16, f32, dynamic }\n\n\n')",,,,,openvino-int8_sym
"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""64"", ""INFERENCE_PRECISION_HINT"": ""i8"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",i8_dq64,,"RuntimeError('Exception from src/inference/src/cpp/core.cpp:109:\nException from src/inference/src/dev/plugin.cpp:53:\nException from src/inference/src/dev/plugin_config.cpp:90:\nInvalid value: i8 for property: INFERENCE_PRECISION_HINT\nProperty description: Model floating-point inference precision. Supported values: { f16, f32, dynamic }\n\n\n')",,,,,openvino-int8_sym
"{""DYNAMIC_QUANTIZATION_GROUP_SIZE"": ""128"", ""INFERENCE_PRECISION_HINT"": ""i8"", ""NUM_STREAMS"": ""1"", ""PERFORMANCE_HINT"": ""LATENCY""}",i8_dq128,,"RuntimeError('Exception from src/inference/src/cpp/core.cpp:109:\nException from src/inference/src/dev/plugin.cpp:53:\nException from src/inference/src/dev/plugin_config.cpp:90:\nInvalid value: i8 for property: INFERENCE_PRECISION_HINT\nProperty description: Model floating-point inference precision. Supported values: { f16, f32, dynamic }\n\n\n')",,,,,openvino-int8_sym
